# epoch loss_total loss_data loss_phys loss_u loss_v loss_cont loss_mom_x loss_mom_y lambda1 lambda2
1.000000000000000000e+00 1.934339332580566406e+01 1.927760958671569824e+00 6.578467786312103271e-02 1.761895060539245605e+00 1.658658981323242188e-01 1.326554827392101288e-02 1.495626196265220642e-02 3.756286948919296265e-02 9.990005007163167416e-01 9.990005083532255484e-03
2.000000000000000000e+00 6.313022136688232422e+00 6.289915442466735840e-01 2.310635894536972046e-02 5.336869955062866211e-01 9.530454874038696289e-02 3.335244720801711082e-03 7.612876128405332565e-03 1.215823832899332047e-02 9.984669335837059734e-01 9.983933332248682083e-03
3.000000000000000000e+00 2.873750686645507812e+00 2.838101089000701904e-01 3.564945608377456665e-02 2.196504622697830200e-01 6.415964663028717041e-02 6.053237244486808777e-03 2.426603808999061584e-02 5.330181680619716644e-03 9.980053625327837130e-01 9.976033679884392311e-03
4.000000000000000000e+00 4.938154697418212891e+00 4.851152896881103516e-01 8.700168132781982422e-02 4.220364689826965332e-01 6.307880580425262451e-02 1.472861971706151962e-02 6.634390354156494141e-02 5.929159000515937805e-03 9.973175799574687250e-01 9.968439732831221867e-03
5.000000000000000000e+00 6.625232219696044922e+00 6.500409841537475586e-01 1.248220354318618774e-01 5.776600241661071777e-01 7.238095253705978394e-02 2.097759023308753967e-02 9.370767325162887573e-02 1.013677101582288742e-02 9.965609980509341215e-01 9.960224625217818650e-03
6.000000000000000000e+00 6.436022281646728516e+00 6.308422088623046875e-01 1.276002675294876099e-01 5.501108765602111816e-01 8.073133975267410278e-02 2.285208180546760559e-02 9.123449772596359253e-02 1.351368613541126251e-02 9.957319550851402301e-01 9.951446845122785198e-03
7.000000000000000000e+00 5.214982032775878906e+00 5.109224319458007812e-01 1.057575717568397522e-01 4.269074201583862305e-01 8.401499688625335693e-02 2.151787653565406799e-02 7.088365405797958374e-02 1.335603836923837662e-02 9.948539689033848443e-01 9.942387601642383929e-03
8.000000000000000000e+00 3.879189014434814453e+00 3.803599178791046143e-01 7.558989524841308594e-02 2.988160848617553711e-01 8.154384046792984009e-02 1.839415170252323151e-02 4.676559939980506897e-02 1.043014042079448700e-02 9.939692757641369614e-01 9.933412390826235061e-03
9.000000000000000000e+00 2.943947792053222656e+00 2.895205318927764893e-01 4.874261468648910522e-02 2.147542238235473633e-01 7.476630061864852905e-02 1.462526340037584305e-02 2.717530727386474609e-02 6.942044943571090698e-03 9.931230331478986262e-01 9.924861737163857833e-03
1.000000000000000000e+01 2.540315151214599609e+00 2.510068416595458984e-01 3.024665266275405884e-02 1.847140043973922729e-01 6.629284471273422241e-02 1.101385895162820816e-02 1.480277348309755325e-02 4.430019762367010117e-03 9.923449692738997019e-01 9.916942621445807779e-03
1.100000000000000000e+01 2.553359270095825195e+00 2.533193528652191162e-01 2.016566507518291473e-02 1.943485587835311890e-01 5.897079035639762878e-02 8.034369908273220062e-03 8.935632184147834778e-03 3.195663448423147202e-03 9.916445288338638919e-01 9.909710246886631324e-03
1.200000000000000000e+01 2.776692867279052734e+00 2.760476768016815186e-01 1.621593534946441650e-02 2.207287698984146118e-01 5.531891062855720520e-02 5.865184590220451355e-03 7.459352258592844009e-03 2.891398267820477486e-03 9.910183174526395744e-01 9.903130064444220365e-03
1.300000000000000000e+01 3.023676633834838867e+00 3.007951080799102783e-01 1.572569273412227631e-02 2.440844029188156128e-01 5.671070516109466553e-02 4.458940587937831879e-03 8.164355531334877014e-03 3.102397313341498375e-03 9.904584027830229953e-01 9.897125272226936846e-03
1.400000000000000000e+01 3.174232959747314453e+00 3.157719373703002930e-01 1.651365682482719421e-02 2.535699307918548584e-01 6.220200657844543457e-02 3.658222500234842300e-03 9.391448460519313812e-03 3.463985398411750793e-03 9.899567918517641063e-01 9.891624077953008534e-03
1.500000000000000000e+01 3.177432537078857422e+00 3.160277009010314941e-01 1.715571433305740356e-02 2.475792318582534790e-01 6.844848394393920898e-02 3.303747856989502907e-03 1.020567771047353745e-02 3.646288532763719559e-03 9.895068616451855315e-01 9.886583217028161938e-03
1.600000000000000000e+01 3.041808366775512695e+00 3.024736046791076660e-01 1.707240194082260132e-02 2.306177616119384766e-01 7.185583561658859253e-02 3.291673259809613228e-03 1.030772272497415543e-02 3.473006421700119972e-03 9.891031723768062278e-01 9.881969003973291310e-03
1.700000000000000000e+01 2.821157455444335938e+00 2.804740369319915771e-01 1.641708053648471832e-02 2.094131857156753540e-01 7.106084376573562622e-02 3.574302187189459801e-03 9.835117496550083160e-03 3.007659921422600746e-03 9.887406702169457828e-01 9.877752583191177702e-03
1.800000000000000000e+01 2.589478731155395508e+00 2.573736310005187988e-01 1.574243977665901184e-02 1.901235878467559814e-01 6.725002825260162354e-02 4.130164626985788345e-03 9.154122322797775269e-03 2.458153059706091881e-03 9.884140077147101078e-01 9.873900489492531268e-03
1.900000000000000000e+01 2.411564350128173828e+00 2.395941615104675293e-01 1.562264189124107361e-02 1.769044846296310425e-01 6.268967688083648682e-02 4.930476658046245575e-03 8.684063330292701721e-03 2.008101902902126312e-03 9.881174097771050491e-01 9.870351112635813301e-03
