# epoch loss_total loss_data loss_phys loss_u loss_v loss_cont loss_mom_x loss_mom_y lambda1 lambda2
1.000000000000000000e+00 1.943071174621582031e+01 1.936402797698974609e+00 6.668221950531005859e-02 1.764783978462219238e+00 1.716188490390777588e-01 1.318782661110162735e-02 1.527131162583827972e-02 3.822308406233787537e-02 9.990005007163167416e-01 9.990005083532255484e-03
2.000000000000000000e+00 6.340908050537109375e+00 6.317291855812072754e-01 2.361645922064781189e-02 5.307193398475646973e-01 1.010098457336425781e-01 3.217066871002316475e-03 7.847089320421218872e-03 1.255230419337749481e-02 9.984603904004187847e-01 9.982548061634941017e-03
3.000000000000000000e+00 2.892787456512451172e+00 2.856484651565551758e-01 3.630275279283523560e-02 2.153448313474655151e-01 7.030362635850906372e-02 5.805050954222679138e-03 2.493318170309066772e-02 5.564519204199314117e-03 9.980199963681963826e-01 9.974107303762570070e-03
4.000000000000000000e+00 4.983464717864990234e+00 4.895436763763427734e-01 8.802809566259384155e-02 4.205539226531982422e-01 6.898976117372512817e-02 1.436606701463460922e-02 6.749874353408813477e-02 6.163287442177534103e-03 9.973382634653618073e-01 9.966243939722407158e-03
5.000000000000000000e+00 6.686673164367675781e+00 6.560213565826416016e-01 1.264597475528717041e-01 5.786271095275878906e-01 7.739423215389251709e-02 2.069145999848842621e-02 9.531439840793609619e-02 1.045389380306005478e-02 9.965848036788437225e-01 9.957864450508426002e-03
6.000000000000000000e+00 6.500324726104736328e+00 6.370494961738586426e-01 1.298300772905349731e-01 5.517944097518920898e-01 8.525507152080535889e-02 2.277886122465133667e-02 9.309890121221542358e-02 1.395231112837791443e-02 9.957583180730655847e-01 9.948974892762604480e-03
7.000000000000000000e+00 5.278514862060546875e+00 5.170229673385620117e-01 1.082849130034446716e-01 4.283660948276519775e-01 8.865690231323242188e-02 2.170545980334281921e-02 7.273362576961517334e-02 1.384582091122865677e-02 9.948816280602273965e-01 9.939832584976543775e-03
8.000000000000000000e+00 3.943533897399902344e+00 3.865515887737274170e-01 7.801793515682220459e-02 2.998891770839691162e-01 8.666240423917770386e-02 1.881293766200542450e-02 4.835143685340881348e-02 1.085356064140796661e-02 9.939962090829769226e-01 9.930788649840238333e-03
9.000000000000000000e+00 3.011433124542236328e+00 2.960641384124755859e-01 5.079178139567375183e-02 2.156744748353958130e-01 8.038967102766036987e-02 1.519339997321367264e-02 2.837054617702960968e-02 7.227832917124032974e-03 9.931472288324451059e-01 9.922178748070416623e-03
1.000000000000000000e+01 2.611057281494140625e+00 2.579218149185180664e-01 3.183908760547637939e-02 1.857380717992782593e-01 7.218372821807861328e-02 1.163536123931407928e-02 1.562224235385656357e-02 4.581485874950885773e-03 9.923652153203353921e-01 9.914205043429281591e-03
1.100000000000000000e+01 2.624794244766235352e+00 2.603440582752227783e-01 2.135372348129749298e-02 1.955552399158477783e-01 6.478881835937500000e-02 8.632210083305835724e-03 9.469593875110149384e-03 3.251919522881507874e-03 9.916605801052320590e-01 9.906922701357659747e-03
1.200000000000000000e+01 2.846072435379028320e+00 2.828984260559082031e-01 1.708815619349479675e-02 2.220789492130279541e-01 6.081946194171905518e-02 6.395704578608274460e-03 7.805205881595611572e-03 2.887246198952198029e-03 9.910307128524841191e-01 9.900292440646777520e-03
1.300000000000000000e+01 3.090845823287963867e+00 3.074474930763244629e-01 1.637100800871849060e-02 2.455979585647583008e-01 6.184952333569526672e-02 4.909615963697433472e-03 8.403120562434196472e-03 3.058272413909435272e-03 9.904682590636058048e-01 9.894237471554111901e-03
1.400000000000000000e+01 3.241848945617675781e+00 3.224828541278839111e-01 1.702036149799823761e-02 2.553755342960357666e-01 6.710731238126754761e-02 4.036856815218925476e-03 9.591476991772651672e-03 3.392026992514729500e-03 9.899656022277664169e-01 9.888690729364074672e-03
1.500000000000000000e+01 3.248961210250854492e+00 3.231355547904968262e-01 1.760562881827354431e-02 2.498153150081634521e-01 7.332023978233337402e-02 3.626321442425251007e-03 1.042375434190034866e-02 3.555553499609231949e-03 9.895162532065983063e-01 9.883594808755207656e-03
1.600000000000000000e+01 3.119271993637084961e+00 3.101748526096343994e-01 1.752362586557865143e-02 2.333229184150695801e-01 7.685193419456481934e-02 3.573552472516894341e-03 1.057924237102270126e-02 3.370831022039055824e-03 9.891146272432314035e-01 9.878925462607554900e-03
1.700000000000000000e+01 2.904242753982543945e+00 2.887349724769592285e-01 1.689307019114494324e-02 2.124917954206466675e-01 7.624316960573196411e-02 3.826006315648555756e-03 1.016343198716640472e-02 2.903632819652557373e-03 9.887552729501005722e-01 9.874653837054060343e-03
1.800000000000000000e+01 2.676185846328735352e+00 2.659950852394104004e-01 1.623509451746940613e-02 1.933902055025100708e-01 7.260487228631973267e-02 4.356736317276954651e-03 9.510487318038940430e-03 2.367870416492223740e-03 9.884323108274658543e-01 9.870741764030788873e-03
1.900000000000000000e+01 2.499459266662597656e+00 2.483354806900024414e-01 1.610439270734786987e-02 1.801721602678298950e-01 6.816331297159194946e-02 5.133756902068853378e-03 9.021189063787460327e-03 1.949446625076234341e-03 9.881394667202897386e-01 9.867137062270292872e-03
2.000000000000000000e+01 2.408145904541015625e+00 2.391324043273925781e-01 1.682184077799320221e-02 1.745523363351821899e-01 6.458006799221038818e-02 6.097956094890832901e-03 9.025331586599349976e-03 1.698553911410272121e-03 9.878706168861113301e-01 9.863764141274308783e-03
2.100000000000000000e+01 2.399126291275024414e+00 2.380755692720413208e-01 1.837066374719142914e-02 1.758063435554504395e-01 6.226922199130058289e-02 7.152615580707788467e-03 9.661160409450531006e-03 1.556887989863753319e-03 9.876203416650342071e-01 9.860547533926287619e-03
2.200000000000000000e+01 2.442572355270385742e+00 2.422130107879638672e-01 2.044228278100490570e-02 1.812488436698913574e-01 6.096416711807250977e-02 8.165746927261352539e-03 1.080208830535411835e-02 1.474447548389434814e-03 9.873839959947108280e-01 9.857421282430686368e-03
2.300000000000000000e+01 2.500248193740844727e+00 2.477696835994720459e-01 2.255120128393173218e-02 1.872435808181762695e-01 6.052610278129577637e-02 8.990427479147911072e-03 1.208855025470256805e-02 1.472224015742540359e-03 9.871574382827276173e-01 9.854338312243339504e-03
2.400000000000000000e+01 2.539339542388916016e+00 2.515183985233306885e-01 2.415571361780166626e-02 1.905417144298553467e-01 6.097668036818504333e-02 9.498834609985351562e-03 1.308060716837644577e-02 1.576271490193903446e-03 9.869370918054272135e-01 9.851275096072377099e-03
2.500000000000000000e+01 2.539490222930908203e+00 2.514685988426208496e-01 2.480403147637844086e-02 1.894159466028213501e-01 6.205263733863830566e-02 9.615145623683929443e-03 1.345930900424718857e-02 1.729576149955391884e-03 9.867206081689638975e-01 9.848231616093834628e-03
2.600000000000000000e+01 2.496263504028320312e+00 2.471952438354492188e-01 2.431103773415088654e-02 1.840831786394119263e-01 6.311207264661788940e-02 9.334156289696693420e-03 1.316512282937765121e-02 1.811759080737829208e-03 9.865075796809713582e-01 9.845231327434846025e-03
2.700000000000000000e+01 2.421132087707519531e+00 2.398268729448318481e-01 2.286327071487903595e-02 1.762876659631729126e-01 6.353920698165893555e-02 8.718502707779407501e-03 1.239998452365398407e-02 1.744783250615000725e-03 9.862994416738833925e-01 9.842307043378463807e-03
2.800000000000000000e+01 2.335556983947753906e+00 2.314617633819580078e-01 2.093936689198017120e-02 1.683512330055236816e-01 6.311052292585372925e-02 7.876362651586532593e-03 1.150832790881395340e-02 1.554677612148225307e-03 9.860983896603846555e-01 9.839477464030806086e-03
2.900000000000000000e+01 2.260684728622436523e+00 2.241599857807159424e-01 1.908483169972896576e-02 1.621912568807601929e-01 6.196873635053634644e-02 6.931334268301725388e-03 1.082254946231842041e-02 1.330946804955601692e-03 9.859059600572211979e-01 9.836751889255791748e-03
3.000000000000000000e+01 2.208849430084228516e+00 2.191150039434432983e-01 1.769937947392463684e-02 1.587033122777938843e-01 6.041169166564941406e-02 5.996106658130884171e-03 1.055480819195508957e-02 1.148465089499950409e-03 9.857221010129499916e-01 9.834125543788927934e-03
3.100000000000000000e+01 2.181675672531127930e+00 2.164723426103591919e-01 1.695219799876213074e-02 1.576705425977706909e-01 5.880180001258850098e-02 5.155371036380529404e-03 1.076508406549692154e-02 1.031744293868541718e-03 9.855450583029475853e-01 9.831570220156918283e-03
