# epoch loss_total loss_data loss_phys loss_u loss_v loss_cont loss_mom_x loss_mom_y lambda1 lambda2
1.000000000000000000e+00 1.950988388061523438e+01 1.944409966468811035e+00 6.578467786312103271e-02 1.773655414581298828e+00 1.707545220851898193e-01 1.326554827392101288e-02 1.495626196265220642e-02 3.756286948919296265e-02 9.990005007163167416e-01 9.990005083532255484e-03
2.000000000000000000e+00 6.479307651519775391e+00 6.456224918365478516e-01 2.308289334177970886e-02 5.456896424293518066e-01 9.993287920951843262e-02 3.334720386192202568e-03 7.612549699842929840e-03 1.213562395423650742e-02 9.984670143683195276e-01 9.983942853674017751e-03
3.000000000000000000e+00 3.041001796722412109e+00 3.005346655845642090e-01 3.565513715147972107e-02 2.317787706851959229e-01 6.875590980052947998e-02 6.055178120732307434e-03 2.427429519593715668e-02 5.325663834810256958e-03 9.980051436438182044e-01 9.976047950725250302e-03
4.000000000000000000e+00 5.106144428253173828e+00 5.019041299819946289e-01 8.710329234600067139e-02 4.343095421791076660e-01 6.759457290172576904e-02 1.474620029330253601e-02 6.641323864459991455e-02 5.943845957517623901e-03 9.973173684177394360e-01 9.968458746139248830e-03
5.000000000000000000e+00 6.793574810028076172e+00 6.668535470962524414e-01 1.250394284725189209e-01 5.899722576141357422e-01 7.688128948211669922e-02 2.101943641901016235e-02 9.384310245513916016e-02 1.017688494175672531e-02 9.965609611581746075e-01 9.960248372272153747e-03
6.000000000000000000e+00 6.605041503906250000e+00 6.477164030075073242e-01 1.278770416975021362e-01 5.624342560768127441e-01 8.528212457895278931e-02 2.291556820273399353e-02 9.139560908079147339e-02 1.356587000191211700e-02 9.957320839864716167e-01 9.951470571249235869e-03
7.000000000000000000e+00 5.384856224060058594e+00 5.278837084770202637e-01 1.060190796852111816e-01 4.392586350440979004e-01 8.862509578466415405e-02 2.159588411450386047e-02 7.102628052234649658e-02 1.339692249894142151e-02 9.948541630114303702e-01 9.942411306169889745e-03
8.000000000000000000e+00 4.049770832061767578e+00 3.973982930183410645e-01 7.578817009925842285e-02 3.112096786499023438e-01 8.618861436843872070e-02 1.847746223211288452e-02 4.686386510729789734e-02 1.044684834778308868e-02 9.939693359350303403e-01 9.933436073955146176e-03
9.000000000000000000e+00 3.114852666854858398e+00 3.065986037254333496e-01 4.886653274297714233e-02 2.271853983402252197e-01 7.941319048404693604e-02 1.470513176172971725e-02 2.722490765154361725e-02 6.936494261026382446e-03 9.931227233004503718e-01 9.924885399906399272e-03
1.000000000000000000e+01 2.711080789566040039e+00 2.680774331092834473e-01 3.030660748481750488e-02 1.971630305051803589e-01 7.091441005468368530e-02 1.108392514288425446e-02 1.481280568987131119e-02 4.409876186400651932e-03 9.923441088503368590e-01 9.916961536530797400e-03
