# epoch loss_total loss_data loss_phys loss_u loss_v loss_cont loss_mom_x loss_mom_y lambda1 lambda2
1.000000000000000000e+00 1.950162124633789062e+01 1.943655610084533691e+00 6.506553292274475098e-02 1.772703766822814941e+00 1.709518581628799438e-01 1.299919839948415756e-02 1.458161044865846634e-02 3.748472407460212708e-02 9.990005007163167416e-01 9.990005083532255484e-03
2.000000000000000000e+00 6.381457328796386719e+00 6.358618736267089844e-01 2.283845469355583191e-02 5.365355014801025391e-01 9.932637214660644531e-02 3.280342090874910355e-03 7.491639815270900726e-03 1.206647139042615891e-02 9.984683947982090357e-01 9.984104719294027708e-03
3.000000000000000000e+00 2.907515525817871094e+00 2.872101664543151855e-01 3.541374951601028442e-02 2.203519195318222046e-01 6.685823947191238403e-02 6.149682216346263885e-03 2.400733157992362976e-02 5.256736651062965393e-03 9.980047151606742384e-01 9.976271529897277196e-03
4.000000000000000000e+00 4.972389221191406250e+00 4.885300397872924805e-01 8.708856999874114990e-02 4.237302243709564209e-01 6.479980796575546265e-02 1.503292284905910492e-02 6.610323488712310791e-02 5.952409002929925919e-03 9.973175286399232897e-01 9.968691662105750445e-03
5.000000000000000000e+00 6.672964572906494141e+00 6.547007560729980469e-01 1.259570717811584473e-01 5.807622671127319336e-01 7.393851876258850098e-02 2.157739736139774323e-02 9.400012344121932983e-02 1.037955656647682190e-02 9.965630679921663182e-01 9.960490595460388258e-03
6.000000000000000000e+00 6.495597362518310547e+00 6.365766525268554688e-01 1.298308819532394409e-01 5.537518858909606934e-01 8.282476663589477539e-02 2.374672330915927887e-02 9.211654216051101685e-02 1.396761555224657059e-02 9.957360929189432719e-01 9.951722071667426853e-03
7.000000000000000000e+00 5.281185626983642578e+00 5.172663927078247070e-01 1.085218712687492371e-01 4.304059743881225586e-01 8.686043322086334229e-02 2.263892628252506256e-02 7.202769070863723755e-02 1.385525520890951157e-02 9.948588470955824770e-01 9.942662577636093152e-03
8.000000000000000000e+00 3.946490049362182617e+00 3.868259489536285400e-01 7.823052257299423218e-02 3.018849790096282959e-01 8.494096249341964722e-02 1.963066495954990387e-02 4.779383167624473572e-02 1.080602500587701797e-02 9.939719908636164281e-01 9.933677645095345329e-03
9.000000000000000000e+00 3.007552862167358398e+00 2.956705987453460693e-01 5.084675177931785583e-02 2.173495590686798096e-01 7.832104712724685669e-02 1.586007885634899139e-02 2.785103768110275269e-02 7.135633844882249832e-03 9.931200382682536798e-01 9.925103099784841204e-03
1.000000000000000000e+01 2.597140550613403320e+00 2.565451264381408691e-01 3.168951719999313354e-02 1.869327723979949951e-01 6.961235404014587402e-02 1.215182710438966751e-02 1.506409142166376114e-02 4.473597742617130280e-03 9.923336077689545176e-01 9.917150689364976138e-03
1.100000000000000000e+01 2.602597951889038086e+00 2.581594586372375488e-01 2.100341022014617920e-02 1.963848918676376343e-01 6.177458167076110840e-02 9.017706848680973053e-03 8.841743692755699158e-03 3.143958048895001411e-03 9.916237484570040728e-01 9.909889810600220478e-03
1.200000000000000000e+01 2.819690465927124023e+00 2.803108692169189453e-01 1.658180356025695801e-02 2.228290587663650513e-01 5.748182535171508789e-02 6.677327211946249008e-03 7.122614420950412750e-03 2.781861694529652596e-03 9.909884482217318213e-01 9.903281175369814046e-03
1.300000000000000000e+01 3.063291788101196289e+00 3.047513663768768311e-01 1.577814109623432159e-02 2.464615851640701294e-01 5.828977003693580627e-02 5.116907879710197449e-03 7.703484967350959778e-03 2.957747783511877060e-03 9.904206491084930342e-01 9.897257413987574706e-03
