# epoch loss_total loss_data loss_phys loss_u loss_v loss_cont loss_mom_x loss_mom_y lambda1 lambda2
1.000000000000000000e+00 1.940629196166992188e+01 1.934050679206848145e+00 6.578467786312103271e-02 1.766312479972839355e+00 1.677382290363311768e-01 1.326554827392101288e-02 1.495626196265220642e-02 3.756286948919296265e-02 9.990005007163167416e-01 9.990005083532255484e-03
2.000000000000000000e+00 6.375727176666259766e+00 6.352643370628356934e-01 2.308379858732223511e-02 5.382696390151977539e-01 9.699469804763793945e-02 3.334968583658337593e-03 7.612485904246568680e-03 1.213634386658668518e-02 9.984668830206777645e-01 9.983938092960215407e-03
3.000000000000000000e+00 2.936915159225463867e+00 2.901267707347869873e-01 3.564734011888504028e-02 2.242475152015686035e-01 6.587925553321838379e-02 6.051824893802404404e-03 2.426834031939506531e-02 5.327174440026283264e-03 9.980052073121534750e-01 9.976038436829075956e-03
4.000000000000000000e+00 5.001878261566162109e+00 4.914817214012145996e-01 8.706095069646835327e-02 4.267228543758392334e-01 6.475885957479476929e-02 1.473433244973421097e-02 6.638485193252563477e-02 5.941760260611772537e-03 9.973174489932402631e-01 9.968444486154828116e-03
5.000000000000000000e+00 6.689323425292968750e+00 6.564374566078186035e-01 1.249487400054931641e-01 5.823913812637329102e-01 7.404609024524688721e-02 2.099656686186790466e-02 9.378585219383239746e-02 1.016632001847028732e-02 9.965609778643297334e-01 9.960229374624155613e-03
6.000000000000000000e+00 6.500480651855468750e+00 6.372724771499633789e-01 1.277560889720916748e-01 5.548543334007263184e-01 8.241814374923706055e-02 2.288381941616535187e-02 9.132312983274459839e-02 1.354914531111717224e-02 9.957320325186718168e-01 9.951451590343550133e-03
7.000000000000000000e+00 5.279769420623779297e+00 5.173869132995605469e-01 1.059001684188842773e-01 4.316585361957550049e-01 8.572839200496673584e-02 2.155883982777595520e-02 7.095864415168762207e-02 1.338268723338842392e-02 9.948540921318771435e-01 9.942392342543363015e-03
8.000000000000000000e+00 3.944197416305541992e+00 3.868502080440521240e-01 7.569520920515060425e-02 3.035772442817687988e-01 8.327296376228332520e-02 1.843927614390850067e-02 4.681470990180969238e-02 1.044122222810983658e-02 9.939693521348869076e-01 9.933417127447500411e-03
9.000000000000000000e+00 3.009039640426635742e+00 2.960232496261596680e-01 4.880719631910324097e-02 2.195242047309875488e-01 7.649903744459152222e-02 1.466950774192810059e-02 2.719793468713760376e-02 6.939754821360111237e-03 9.931229554547980065e-01 9.924866469707853411e-03
1.000000000000000000e+01 2.605333089828491211e+00 2.575055062770843506e-01 3.027786687016487122e-02 1.894859820604324341e-01 6.801953166723251343e-02 1.105341687798500061e-02 1.480493322014808655e-02 4.419516306370496750e-03 9.923446564345266285e-01 9.916942621445807779e-03
1.100000000000000000e+01 2.618151903152465820e+00 2.597980499267578125e-01 2.017149329185485840e-02 1.991145014762878418e-01 6.068354099988937378e-02 8.067172951996326447e-03 8.924080058932304382e-03 3.180238418281078339e-03 9.916439479267854518e-01 9.909710246886631324e-03
1.200000000000000000e+01 2.841186046600341797e+00 2.824985086917877197e-01 1.620110683143138885e-02 2.254863083362579346e-01 5.701220780611038208e-02 5.890810396522283554e-03 7.438570726662874222e-03 2.871725242584943771e-03 9.910174867910298557e-01 9.903125342264947756e-03
1.300000000000000000e+01 3.087916374206542969e+00 3.072223067283630371e-01 1.569324731826782227e-02 2.488382309675216675e-01 5.838408321142196655e-02 4.478074610233306885e-03 8.136899210512638092e-03 3.078274196013808250e-03 9.904573825690341504e-01 9.897120552910974520e-03
1.400000000000000000e+01 3.238367080688476562e+00 3.221899271011352539e-01 1.646774262189865112e-02 2.583271563053131104e-01 6.386277079582214355e-02 3.672027494758367538e-03 9.359534829854965210e-03 3.436178900301456451e-03 9.899556670500910815e-01 9.891619361260216986e-03
1.500000000000000000e+01 3.241649389266967773e+00 3.224546909332275391e-01 1.710255630314350128e-02 2.523441612720489502e-01 7.011053711175918579e-02 3.313310211524367332e-03 1.017217990010976791e-02 3.617065958678722382e-03 9.895057253745916936e-01 9.886578502739039667e-03
1.600000000000000000e+01 3.106253147125244141e+00 3.089234232902526855e-01 1.701883412897586823e-02 2.353911846876144409e-01 7.353222370147705078e-02 3.297668881714344025e-03 1.027594599872827530e-02 3.445218782871961594e-03 9.891021056577584680e-01 9.881964291884396887e-03
1.700000000000000000e+01 2.885872364044189453e+00 2.869504094123840332e-01 1.636836491525173187e-02 2.141937762498855591e-01 7.275663316249847412e-02 3.576919203624129295e-03 9.807850234210491180e-03 2.983595710247755051e-03 9.887397282016482380e-01 9.877747873112829521e-03
1.800000000000000000e+01 2.654405832290649414e+00 2.638704776763916016e-01 1.570096798241138458e-02 1.949094980955123901e-01 6.896097958087921143e-02 4.129241686314344406e-03 9.132768027484416962e-03 2.438958734273910522e-03 9.884132169777991583e-01 9.873895781251003714e-03
1.900000000000000000e+01 2.476582765579223633e+00 2.460995018482208252e-01 1.558783091604709625e-02 1.816938221454620361e-01 6.440567970275878906e-02 4.925795365124940872e-03 8.668356575071811676e-03 1.993678510189056396e-03 9.881167757208899616e-01 9.870346406086760033e-03
2.000000000000000000e+01 2.385881185531616211e+00 2.369529902935028076e-01 1.635112985968589783e-02 1.761788874864578247e-01 6.077409908175468445e-02 5.907031241804361343e-03 8.739605545997619629e-03 1.704494003206491470e-03 9.878445685275623056e-01 9.867028847458986576e-03
2.100000000000000000e+01 2.378092765808105469e+00 2.360132485628128052e-01 1.796019822359085083e-02 1.775180846452713013e-01 5.849516391754150391e-02 6.972640752792358398e-03 9.460507892072200775e-03 1.527047832496464252e-03 9.875911800547234609e-01 9.863858209908109645e-03
2.200000000000000000e+01 2.422252416610717773e+00 2.402171194553375244e-01 2.008123137056827545e-02 1.829256415367126465e-01 5.729147791862487793e-02 7.985980249941349030e-03 1.067357417196035385e-02 1.421676948666572571e-03 9.873517296247504849e-01 9.860768524549453143e-03
2.300000000000000000e+01 2.479284048080444336e+00 2.457081079483032227e-01 2.220303937792778015e-02 1.887302547693252563e-01 5.697785317897796631e-02 8.796795271337032318e-03 1.199817564338445663e-02 1.408068928867578506e-03 9.871217658426876262e-01 9.857712710593135794e-03
2.400000000000000000e+01 2.516161918640136719e+00 2.492388784885406494e-01 2.377307973802089691e-02 1.917196214199066162e-01 5.751926079392433167e-02 9.277057833969593048e-03 1.299281697720289230e-02 1.503205741755664349e-03 9.868974953251087312e-01 9.854667241760288118e-03
2.500000000000000000e+01 2.513085126876831055e+00 2.488732933998107910e-01 2.435234189033508301e-02 1.902476251125335693e-01 5.862567573785781860e-02 9.354265406727790833e-03 1.335426233708858490e-02 1.643814379349350929e-03 9.866765158468281394e-01 9.851636806672357805e-03
2.600000000000000000e+01 2.466628313064575195e+00 2.442843317985534668e-01 2.378487214446067810e-02 1.846146881580352783e-01 5.966965109109878540e-02 9.028920903801918030e-03 1.304457709193229675e-02 1.711373450234532356e-03 9.864584733533813266e-01 9.848640176809924859e-03
2.700000000000000000e+01 2.389111280441284180e+00 2.366826236248016357e-01 2.228505164384841919e-02 1.766185462474822998e-01 6.006408110260963440e-02 8.369987830519676208e-03 1.228133775293827057e-02 1.633726409636437893e-03 9.862448603374465161e-01 9.845700795840557282e-03
