# epoch loss_total loss_data loss_phys loss_u loss_v loss_cont loss_mom_x loss_mom_y lambda1 lambda2
1.000000000000000000e+00 1.933206176757812500e+01 1.926537871360778809e+00 6.668221950531005859e-02 1.757581114768981934e+00 1.689567267894744873e-01 1.318782661110162735e-02 1.527131162583827972e-02 3.822308406233787537e-02 9.990005007163167416e-01 9.990005083532255484e-03
2.000000000000000000e+00 6.250241756439208984e+00 6.226652860641479492e-01 2.358867973089218140e-02 5.244247317314147949e-01 9.824057668447494507e-02 3.215969307348132133e-03 7.855398580431938171e-03 1.251731254160404205e-02 9.984601719928338781e-01 9.982571861912559533e-03
3.000000000000000000e+00 2.809350490570068359e+00 2.773113250732421875e-01 3.623717650771141052e-02 2.097717374563217163e-01 6.753958761692047119e-02 5.757753737270832062e-03 2.493454702198505402e-02 5.544875748455524445e-03 9.980219101663709846e-01 9.974135839953284302e-03
4.000000000000000000e+00 4.902939796447753906e+00 4.815185070037841797e-01 8.775479346513748169e-02 4.152780473232269287e-01 6.624047458171844482e-02 1.423897594213485718e-02 6.737853586673736572e-02 6.137280259281396866e-03 9.973408377588304230e-01 9.966272453415825697e-03
5.000000000000000000e+00 6.603811264038085938e+00 6.477907896041870117e-01 1.259029507637023926e-01 5.731287598609924316e-01 7.466203719377517700e-02 2.047786489129066467e-02 9.502133727073669434e-02 1.040374953299760818e-02 9.965873147699858547e-01 9.957892940227898448e-03
6.000000000000000000e+00 6.414638042449951172e+00 6.285513639450073242e-01 1.291242092847824097e-01 5.460370779037475586e-01 8.251428604125976562e-02 2.250618487596511841e-02 9.274237602949142456e-02 1.387564837932586670e-02 9.957606875118568679e-01 9.949003357048812057e-03
7.000000000000000000e+00 5.191493988037109375e+00 5.083891749382019043e-01 1.076019480824470520e-01 4.224974811077117920e-01 8.589170873165130615e-02 2.140611037611961365e-02 7.243883609771728516e-02 1.375700067728757858e-02 9.948839977293015835e-01 9.939861023106361798e-03
8.000000000000000000e+00 3.856736421585083008e+00 3.779270052909851074e-01 7.746620476245880127e-02 2.940552532672882080e-01 8.387176692485809326e-02 1.851569116115570068e-02 4.817959666252136230e-02 1.077091880142688751e-02 9.939989673026419226e-01 9.930821797478828900e-03
9.000000000000000000e+00 2.925805330276489258e+00 2.875404655933380127e-01 5.040066689252853394e-02 2.099595069885253906e-01 7.758095115423202515e-02 1.492057647556066513e-02 2.831770479679107666e-02 7.162383291870355606e-03 9.931508712545540352e-01 9.922211866970311739e-03
1.000000000000000000e+01 2.526806354522705078e+00 2.495221793651580811e-01 3.158440068364143372e-02 1.801557987928390503e-01 6.936638057231903076e-02 1.140104886144399643e-02 1.564872823655605316e-02 4.534623585641384125e-03 9.923700877786322261e-01 9.914238135714020447e-03
1.100000000000000000e+01 2.541569471359252930e+00 2.520377635955810547e-01 2.119190618395805359e-02 1.900664120912551880e-01 6.197136640548706055e-02 8.441791869699954987e-03 9.530728682875633240e-03 3.219383768737316132e-03 9.916667559426631806e-01 9.906960493340680185e-03
