# epoch loss_total loss_data loss_phys loss_u loss_v loss_cont loss_mom_x loss_mom_y lambda1 lambda2
1.000000000000000000e+00 1.942345428466796875e+01 1.935838818550109863e+00 6.506553292274475098e-02 1.767288088798522949e+00 1.685507446527481079e-01 1.299919839948415756e-02 1.458161044865846634e-02 3.748472407460212708e-02 9.990005007163167416e-01 9.990005083532255484e-03
2.000000000000000000e+00 6.307654857635498047e+00 6.284821033477783203e-01 2.283391542732715607e-02 5.314355492591857910e-01 9.704654663801193237e-02 3.280418924987316132e-03 7.491172756999731064e-03 1.206232421100139618e-02 9.984683441188698660e-01 9.984104719294027708e-03
3.000000000000000000e+00 2.836941003799438477e+00 2.801541686058044434e-01 3.539930284023284912e-02 2.154253572225570679e-01 6.472881138324737549e-02 6.152037065476179123e-03 2.399462275207042694e-02 5.252641160041093826e-03 9.980047704638028705e-01 9.976266772841444613e-03
4.000000000000000000e+00 4.902200698852539062e+00 4.815171957015991211e-01 8.702853322029113770e-02 4.187709987163543701e-01 6.274618208408355713e-02 1.503589097410440445e-02 6.605233252048492432e-02 5.940312519669532776e-03 9.973175818151175376e-01 9.968686908664280144e-03
5.000000000000000000e+00 6.600956916809082031e+00 6.475140452384948730e-01 1.258161067962646484e-01 5.756344199180603027e-01 7.187964022159576416e-02 2.157754264771938324e-02 9.389510750770568848e-02 1.034345012158155441e-02 9.965630113767453002e-01 9.960485845929491211e-03
6.000000000000000000e+00 6.421660900115966797e+00 6.292041540145874023e-01 1.296193152666091919e-01 5.484846234321594238e-01 8.071956038475036621e-02 2.374171465635299683e-02 9.197134524583816528e-02 1.390624884516000748e-02 9.957359106943898253e-01 9.951717326317686962e-03
7.000000000000000000e+00 5.205962657928466797e+00 5.097676515579223633e-01 1.082865819334983826e-01 4.250635206699371338e-01 8.470416069030761719e-02 2.262737415730953217e-02 7.187262177467346191e-02 1.378658134490251541e-02 9.948586275069295493e-01 9.942657836606255337e-03
8.000000000000000000e+00 3.870806455612182617e+00 3.792785704135894775e-01 7.802078872919082642e-02 2.965241670608520508e-01 8.275441080331802368e-02 1.961303129792213440e-02 4.765764251351356506e-02 1.075011398643255234e-02 9.939719334696878184e-01 9.933672908349856431e-03
9.000000000000000000e+00 2.932168960571289062e+00 2.881477773189544678e-01 5.069112032651901245e-02 2.120110988616943359e-01 7.613667100667953491e-02 1.583843678236007690e-02 2.775119058787822723e-02 7.101492024958133698e-03 9.931203837241077137e-01 9.925098367128012272e-03
1.000000000000000000e+01 2.522570371627807617e+00 2.490976303815841675e-01 3.159399330615997314e-02 1.816381812095642090e-01 6.745944917201995850e-02 1.212885882705450058e-02 1.500579062849283218e-02 4.459343850612640381e-03 9.923345439664615908e-01 9.917150689364976138e-03
1.100000000000000000e+01 2.528985023498535156e+00 2.508023679256439209e-01 2.096129022538661957e-02 1.911330968141555786e-01 5.966927111148834229e-02 8.995751850306987762e-03 8.821791969239711761e-03 3.143745940178632736e-03 9.916253692387059226e-01 9.909889810600220478e-03
1.200000000000000000e+01 2.746816158294677734e+00 2.730233669281005859e-01 1.658244617283344269e-02 2.175979763269424438e-01 5.542538315057754517e-02 6.657809019088745117e-03 7.133600767701864243e-03 2.791036618873476982e-03 9.909907629326569767e-01 9.903285897623391801e-03
1.300000000000000000e+01 2.990706920623779297e+00 2.974897027015686035e-01 1.580998487770557404e-02 2.412187457084655762e-01 5.627096444368362427e-02 5.100201349705457687e-03 7.736296392977237701e-03 2.973487135022878647e-03 9.904235998740359426e-01 9.897262133368799064e-03
1.400000000000000000e+01 3.141402721405029297e+00 3.124937415122985840e-01 1.646506972610950470e-02 2.510276734828948975e-01 6.146607547998428345e-02 4.183746408671140671e-03 8.951180614531040192e-03 3.330142702907323837e-03 9.899162785922552832e-01 9.891751429508521473e-03
1.500000000000000000e+01 3.148200750350952148e+00 3.131097853183746338e-01 1.710296049714088440e-02 2.452849894762039185e-01 6.782478839159011841e-02 3.753527998924255371e-03 9.811526164412498474e-03 3.537907032296061516e-03 9.894622835858812859e-01 9.886705789334355662e-03
1.600000000000000000e+01 3.018490314483642578e+00 3.001394271850585938e-01 1.709604077041149139e-02 2.284385114908218384e-01 7.170090079307556152e-02 3.701071487739682198e-03 9.983614087104797363e-03 3.411354729905724525e-03 9.890561033419635883e-01 9.882096231222756155e-03
1.700000000000000000e+01 2.803785800933837891e+00 2.787243425846099854e-01 1.654250733554363251e-02 2.072465866804122925e-01 7.147774845361709595e-02 3.971047233790159225e-03 9.577530436217784882e-03 2.993930829688906670e-03 9.886924876999346745e-01 9.877893886585992558e-03
1.800000000000000000e+01 2.576088666915893555e+00 2.560130655765533447e-01 1.595818065106868744e-02 1.879357248544692993e-01 6.807734817266464233e-02 4.535102751106023788e-03 8.944062516093254089e-03 2.479014452546834946e-03 9.883657969329588955e-01 9.874055862722419183e-03
1.900000000000000000e+01 2.399478197097778320e+00 2.383572608232498169e-01 1.590569689869880676e-02 1.747222542762756348e-01 6.363500654697418213e-02 5.359789356589317322e-03 8.498523384332656860e-03 2.047383226454257965e-03 9.880698778548684391e-01 9.870529963162828421e-03
2.000000000000000000e+01 2.308015823364257812e+00 2.291300594806671143e-01 1.671532541513442993e-02 1.692707240581512451e-01 5.985933914780616760e-02 6.382866296917200089e-03 8.571338839828968048e-03 1.761119812726974487e-03 9.877984885448267693e-01 9.867235868134515905e-03
2.100000000000000000e+01 2.298627614974975586e+00 2.280258536338806152e-01 1.836888678371906281e-02 1.707356721162796021e-01 5.729017406702041626e-02 7.502671331167221069e-03 9.285576641559600830e-03 1.580639393068850040e-03 9.875458513494133062e-01 9.864093385417495655e-03
2.200000000000000000e+01 2.341299772262573242e+00 2.320757061243057251e-01 2.054253220558166504e-02 1.763087958097457886e-01 5.576690658926963806e-02 8.581723086535930634e-03 1.049297116696834564e-02 1.467837952077388763e-03 9.873068652237692033e-01 9.861027136886879943e-03
2.300000000000000000e+01 2.397551536560058594e+00 2.374819517135620117e-01 2.273193001747131348e-02 1.822865307331085205e-01 5.519541352987289429e-02 9.468048810958862305e-03 1.181888580322265625e-02 1.444995985366404057e-03 9.870770203669331222e-01 9.857990045393505429e-03
2.400000000000000000e+01 2.434777021408081055e+00 2.410390824079513550e-01 2.438624203205108643e-02 1.854293346405029297e-01 5.560975149273872375e-02 1.002918463200330734e-02 1.282126363366842270e-02 1.535793300718069077e-03 9.868525412747655157e-01 9.854963287712908623e-03
2.500000000000000000e+01 2.433414697647094727e+00 2.408359646797180176e-01 2.505513466894626617e-02 1.840786933898925781e-01 5.675726383924484253e-02 1.018439233303070068e-02 1.318812929093837738e-02 1.682613627053797245e-03 9.866310242145824860e-01 9.851946854900038228e-03
2.600000000000000000e+01 2.389882564544677734e+00 2.365328073501586914e-01 2.455447055399417877e-02 1.785409748554229736e-01 5.799183994531631470e-02 9.923195466399192810e-03 1.286734081804752350e-02 1.763934153132140636e-03 9.864120868859445057e-01 9.848959523423688953e-03
2.700000000000000000e+01 2.315932512283325195e+00 2.292868196964263916e-01 2.306438423693180084e-02 1.706342995166778564e-01 5.865251645445823669e-02 9.303764440119266510e-03 1.206377614289522171e-02 1.696844235993921757e-03 9.861972816397125419e-01 9.846038826954350148e-03
2.800000000000000000e+01 2.232650041580200195e+00 2.211593538522720337e-01 2.105648815631866455e-02 1.627184599637985229e-01 5.844089761376380920e-02 8.432419039309024811e-03 1.112216897308826447e-02 1.501899329014122486e-03 9.859890814606850906e-01 9.843203481144440284e-03
2.900000000000000000e+01 2.160506963729858398e+00 2.141427844762802124e-01 1.907924376428127289e-02 1.567067205905914307e-01 5.743606388568878174e-02 7.434592582285404205e-03 1.037666015326976776e-02 1.267989980988204479e-03 9.857894955499850731e-01 9.840467489642139645e-03
3.000000000000000000e+01 2.111200094223022461e+00 2.093652486801147461e-01 1.754758507013320923e-02 1.534541249275207520e-01 5.591111630201339722e-02 6.428427528589963913e-03 1.004448719322681427e-02 1.074669533409178257e-03 9.855990850445977003e-01 9.837821387962320321e-03
