# epoch loss_total loss_data loss_phys loss_u loss_v loss_cont loss_mom_x loss_mom_y lambda1 lambda2
1.000000000000000000e+00 1.957062530517578125e+01 1.950394272804260254e+00 6.668221950531005859e-02 1.774913191795349121e+00 1.754811108112335205e-01 1.318782661110162735e-02 1.527131162583827972e-02 3.822308406233787537e-02 9.990005007163167416e-01 9.990005083532255484e-03
2.000000000000000000e+00 6.473216533660888672e+00 6.449612379074096680e-01 2.360373176634311676e-02 5.399932861328125000e-01 1.049679741263389587e-01 3.216246841475367546e-03 7.837967015802860260e-03 1.254951767623424530e-02 9.984599982199359181e-01 9.982533781495607841e-03
3.000000000000000000e+00 3.017476320266723633e+00 2.981117963790893555e-01 3.635842725634574890e-02 2.238480597734451294e-01 7.426372170448303223e-02 5.840176716446876526e-03 2.495542541146278381e-02 5.562826059758663177e-03 9.980161467078261239e-01 9.974088279680782751e-03
4.000000000000000000e+00 5.105127334594726562e+00 5.016837120056152344e-01 8.829027414321899414e-02 4.287273287773132324e-01 7.295640558004379272e-02 1.448032073676586151e-02 6.765010207891464233e-02 6.159846205264329910e-03 9.973332707110867945e-01 9.966224930638782273e-03
5.000000000000000000e+00 6.810718536376953125e+00 6.683728098869323730e-01 1.269902437925338745e-01 5.870237350463867188e-01 8.134908229112625122e-02 2.089819125831127167e-02 9.563588351011276245e-02 1.045616529881954193e-02 9.965796202517070990e-01 9.957850205679255606e-03
6.000000000000000000e+00 6.627106666564941406e+00 6.496607661247253418e-01 1.304989755153656006e-01 5.604525208473205566e-01 8.920823782682418823e-02 2.305063046514987946e-02 9.347841143608093262e-02 1.396993547677993774e-02 9.957531057912545336e-01 9.948960660650039631e-03
7.000000000000000000e+00 5.406482696533203125e+00 5.297552943229675293e-01 1.089295297861099243e-01 4.371305704116821289e-01 9.262474626302719116e-02 2.200756967067718506e-02 7.304451614618301392e-02 1.387744769454002380e-02 9.948763031587589678e-01 9.939818365942145947e-03
8.000000000000000000e+00 4.071218013763427734e+00 3.992680907249450684e-01 7.853710651397705078e-02 3.086152374744415283e-01 9.065284579992294312e-02 1.911423169076442719e-02 4.853282496333122253e-02 1.089005265384912491e-02 9.939904422577645615e-01 9.930774443743283289e-03
9.000000000000000000e+00 3.138032197952270508e+00 3.086873590946197510e-01 5.115869268774986267e-02 2.242871820926666260e-01 8.440018445253372192e-02 1.546979043632745743e-02 2.842826768755912781e-02 7.260634563863277435e-03 9.931405780705224728e-01 9.922159823034395684e-03
1.000000000000000000e+01 2.736467123031616211e+00 2.704389989376068115e-01 3.207717090845108032e-02 1.942338645458221436e-01 7.620513439178466797e-02 1.187193579971790314e-02 1.559821702539920807e-02 4.607016686350107193e-03 9.923573660177813505e-01 9.914181406150664524e-03
1.100000000000000000e+01 2.749382257461547852e+00 2.727877497673034668e-01 2.150453254580497742e-02 2.039766907691955566e-01 6.881105154752731323e-02 8.823604322969913483e-03 9.410068392753601074e-03 3.270861459895968437e-03 9.916514618799041614e-01 9.906894357464999731e-03
1.200000000000000000e+01 2.970352649688720703e+00 2.953164279460906982e-01 1.718820258975028992e-02 2.304812967777252197e-01 6.483512371778488159e-02 6.544251926243305206e-03 7.742376998066902161e-03 2.901574363932013512e-03 9.910204550250496514e-01 9.900259394910739322e-03
1.300000000000000000e+01 3.215199470520019531e+00 3.198756575584411621e-01 1.644272543489933014e-02 2.540219128131866455e-01 6.585375964641571045e-02 5.022163502871990204e-03 8.351266384124755859e-03 3.069295315071940422e-03 9.904570929243861066e-01 9.894204446028679462e-03
1.400000000000000000e+01 3.366406679153442383e+00 3.349333107471466064e-01 1.707356795668601990e-02 2.638351023197174072e-01 7.109820097684860229e-02 4.121557809412479401e-03 9.551739320158958435e-03 3.400270594283938408e-03 9.899537890029330711e-01 9.888653007074537857e-03
1.500000000000000000e+01 3.373680591583251953e+00 3.356037735939025879e-01 1.764301955699920654e-02 2.583013176918029785e-01 7.730247080326080322e-02 3.690224373713135719e-03 1.039122976362705231e-02 3.561566583812236786e-03 9.895040435490599640e-01 9.883557105905028950e-03
1.600000000000000000e+01 3.244073390960693359e+00 3.226527869701385498e-01 1.754551008343696594e-02 2.418155372142791748e-01 8.083725720643997192e-02 3.621370065957307816e-03 1.054868567734956741e-02 3.375453641638159752e-03 9.891022475184291229e-01 9.878883066949832592e-03
1.700000000000000000e+01 3.029053688049316406e+00 3.012154102325439453e-01 1.689966954290866852e-02 2.209724932909011841e-01 8.024291694164276123e-02 3.859959309920668602e-03 1.013220474123954773e-02 2.907504560425877571e-03 9.887429345565083016e-01 9.874606751147582684e-03
1.800000000000000000e+01 2.800926446914672852e+00 2.784699201583862305e-01 1.622719690203666687e-02 2.018475085496902466e-01 7.662242650985717773e-02 4.377216566354036331e-03 9.478914551436901093e-03 2.371064852923154831e-03 9.884202240887345337e-01 9.870694696778484906e-03
1.900000000000000000e+01 2.624033689498901367e+00 2.607950270175933838e-01 1.608358323574066162e-02 1.886017322540283203e-01 7.219329476356506348e-02 5.140512716025114059e-03 8.991326205432415009e-03 1.951745245605707169e-03 9.881278547384778621e-01 9.867090012206505140e-03
2.000000000000000000e+01 2.532473087310791016e+00 2.515682280063629150e-01 1.679088920354843140e-02 1.829548627138137817e-01 6.861336529254913330e-02 6.091448012739419937e-03 8.999288082122802734e-03 1.700153457932174206e-03 9.878597173957744948e-01 9.863717107293824143e-03
2.100000000000000000e+01 2.523178339004516602e+00 2.504844367504119873e-01 1.833402737975120544e-02 1.841855496168136597e-01 6.629888713359832764e-02 7.135140709578990936e-03 9.639985859394073486e-03 1.558899763040244579e-03 9.876103913931939537e-01 9.860505217137910394e-03
2.200000000000000000e+01 2.566390037536621094e+00 2.545983791351318359e-01 2.040615677833557129e-02 1.896104812622070312e-01 6.498788297176361084e-02 8.141919970512390137e-03 1.078565232455730438e-02 1.478584599681198597e-03 9.873752049159157940e-01 9.857383679424396028e-03
2.300000000000000000e+01 2.623916149139404297e+00 2.601393163204193115e-01 2.252286486327648163e-02 1.955943256616592407e-01 6.454499810934066772e-02 8.966828696429729462e-03 1.207613013684749603e-02 1.479906961321830750e-03 9.871499740108131693e-01 9.854305419895497548e-03
2.400000000000000000e+01 2.662955999374389648e+00 2.638813853263854980e-01 2.414205297827720642e-02 1.988875418901443481e-01 6.499383598566055298e-02 9.482833556830883026e-03 1.307122595608234406e-02 1.587993931025266647e-03 9.869310667510379220e-01 9.851246911388566313e-03
2.500000000000000000e+01 2.663136720657348633e+00 2.638327181339263916e-01 2.480950020253658295e-02 1.977600604295730591e-01 6.607265025377273560e-02 9.613273665308952332e-03 1.345134433358907700e-02 1.744883949868381023e-03 9.867160804871936142e-01 9.848212832100640413e-03
2.600000000000000000e+01 2.619979143142700195e+00 2.595643401145935059e-01 2.433567680418491364e-02 1.924243867397308350e-01 6.713995337486267090e-02 9.350681677460670471e-03 1.315550412982702255e-02 1.829492393881082535e-03 9.865045615695692272e-01 9.845226632863836314e-03
2.700000000000000000e+01 2.544883251190185547e+00 2.521981298923492432e-01 2.290193736553192139e-02 1.846203356981277466e-01 6.757779419422149658e-02 8.754659444093704224e-03 1.238394994288682938e-02 1.763328444212675095e-03 9.862979315575737260e-01 9.842311736557304153e-03
2.800000000000000000e+01 2.459245920181274414e+00 2.438262999057769775e-01 2.098308503627777100e-02 1.766676753759384155e-01 6.715863198041915894e-02 7.930494844913482666e-03 1.148021407425403595e-02 1.572376815602183342e-03 9.860984236402858816e-01 9.839491539526290520e-03
2.900000000000000000e+01 2.384186983108520508e+00 2.365063428878784180e-01 1.912357099354267120e-02 1.704846620559692383e-01 6.602168083190917969e-02 6.999688688665628433e-03 1.077726017683744431e-02 1.346621545962989330e-03 9.859076752497323293e-01 9.836775341927833996e-03
3.000000000000000000e+01 2.332059860229492188e+00 2.314335107803344727e-01 1.772478222846984863e-02 1.669702529907226562e-01 6.446325778961181641e-02 6.073899101465940475e-03 1.048919185996055603e-02 1.161690801382064819e-03 9.857257841371137586e-01 9.834158368779054998e-03
3.100000000000000000e+01 2.304541110992431641e+00 2.287581861019134521e-01 1.695914193987846375e-02 1.659120023250579834e-01 6.284618377685546875e-02 5.237836390733718872e-03 1.067862194031476974e-02 1.042682211846113205e-03 9.855511712719106088e-01 9.831617100848734705e-03
3.200000000000000000e+01 2.296167373657226562e+00 2.279361188411712646e-01 1.680617593228816986e-02 1.663392633199691772e-01 6.159686297178268433e-02 4.542675334960222244e-03 1.128341723233461380e-02 9.800831321626901627e-04 9.853810255264002782e-01 9.829113984636147355e-03
3.300000000000000000e+01 2.298549652099609375e+00 2.281416654586791992e-01 1.713307388126850128e-02 1.670687645673751831e-01 6.107290089130401611e-02 4.008972551673650742e-03 1.216781698167324066e-02 9.562834748066961765e-04 9.852119478210816794e-01 9.826606820021122068e-03
3.400000000000000000e+01 2.302589178085327148e+00 2.284828722476959229e-01 1.776047423481941223e-02 1.671687364578247070e-01 6.131413206458091736e-02 3.635118249803781509e-03 1.317021250724792480e-02 9.551437105983495712e-04 9.850405019829707731e-01 9.824058134547836510e-03
3.500000000000000000e+01 2.300048828125000000e+00 2.281540930271148682e-01 1.850799843668937683e-02 1.661910116672515869e-01 6.196308881044387817e-02 3.406932810321450233e-03 1.413780637085437775e-02 9.632595465518534184e-04 9.848636000375226018e-01 9.821430495002524130e-03
3.600000000000000000e+01 2.286126136779785156e+00 2.266894876956939697e-01 1.923136040568351746e-02 1.641716957092285156e-01 6.251779943704605103e-02 3.305349964648485184e-03 1.494989357888698578e-02 9.761173278093338013e-04 9.846787340394047572e-01 9.818691191625331105e-03
3.700000000000000000e+01 2.261573076248168945e+00 2.241728007793426514e-01 1.984508149325847626e-02 1.614899933338165283e-01 6.268279999494552612e-02 3.310550935566425323e-03 1.553305145353078842e-02 1.001479220576584339e-03 9.844841196660784055e-01 9.815812234944841508e-03
3.800000000000000000e+01 2.231812477111816406e+00 2.211493849754333496e-01 2.031845040619373322e-02 1.586830466985702515e-01 6.246633455157279968e-02 3.402475034818053246e-03 1.586793176829814911e-02 1.048042671754956245e-03 9.842788185297153269e-01 9.812775031863117323e-03
3.900000000000000000e+01 2.203403949737548828e+00 2.182750701904296875e-01 2.065312862396240234e-02 1.562707573175430298e-01 6.200431659817695618e-02 3.559089498594403267e-03 1.598523743450641632e-02 1.108800061047077179e-03 9.840628300006850626e-01 9.809565697103395099e-03
4.000000000000000000e+01 2.180891752243041992e+00 2.160027027130126953e-01 2.086475677788257599e-02 1.546107232570648193e-01 6.139197200536727905e-02 3.754375269636511803e-03 1.594920642673969269e-02 1.161175547167658806e-03 9.838370590777744118e-01 9.806179724235430245e-03
4.100000000000000000e+01 2.166009664535522461e+00 2.145032137632369995e-01 2.097751572728157043e-02 1.537991762161254883e-01 6.070404127240180969e-02 3.957761917263269424e-03 1.583188399672508240e-02 1.187870744615793228e-03 9.836030533140492915e-01 9.802612622662524450e-03
